time_s,accel_x_mps2
8.999486453831196e-07,-0.02941995
1.0899966582655907e-05,-0.02941995
1.6899954061955214e-05,-0.02941995
1.999997766688466e-05,0.0
4.339998122304678e-05,-0.00980665
4.659994738176465e-05,0.0588399
4.999997327104211e-05,0.22555294999999997
0.06593229999998584,0.8727918499999999
0.0659381999867037,3.0008348999999996
0.06595749995904043,3.63826715
0.06595979997655377,3.77556025
0.0659620999940671,1.2160246
0.06596419995184988,-1.0395048999999998
0.06596639996860176,-2.0397831999999996
0.13036949996603653,-2.2359162
0.13039489998482168,-2.1966896
0.13039959996240214,-2.8243151999999996
0.13042800000403076,-4.4129925
0.1304357999470085,-5.5407572499999995
0.13044359994819388,-5.42307745
0.19450839998899028,-2.73605535
0.19451349996961653,0.61781895
0.19451619999017566,1.4906107999999998
0.1945183999487199,2.3928225999999997
0.19452039996394888,2.55953565
0.19452239997917786,1.57887065
0.25896659999853,1.63771055
0.25897149997763336,3.1773545999999997
0.2589739999966696,3.14793465
0.2589761999552138,3.65788045
0.25897829997120425,2.7752819499999997
0.2589803999871947,1.77500365
0.25898289994802326,0.7551120499999999
0.32353489997331053,-0.7158854499999999
0.32356039999285713,-1.6279039
0.32356299995444715,-1.7455836999999998
0.3235654999734834,-1.5004174499999998
0.323584400000982,-1.3729310000000001
0.3235871999640949,-1.85345685
0.3876396999694407,-2.3928225999999997
0.38764439994702116,-5.14849125
0.3876472999691032,-5.1779112
0.3876501999911852,-3.4617474499999994
0.38765239994972944,-0.46091255
0.3876546999672428,1.3827376499999997
0.38765669998247176,2.0986230999999997
0.45358579995809123,2.3928225999999997
0.45359029999235645,2.0593964999999996
0.45359329995699227,1.7455836999999998
0.45359549997374415,3.334261
0.4535975999897346,3.7069137
0.4535994000034407,3.87362675
0.5178201999515295,2.5105024
0.5178263999987394,1.89268345
0.5178301999694668,0.99047165
0.5178323999862187,-0.6472389
0.5178350999485701,-1.6279039
0.5178597999620251,-1.85345685
0.5178622999810614,-1.5102240999999998
0.5828125999541953,-1.3827376499999997
0.5828215999645181,-1.8338435499999999
0.5828526999684982,-2.3241760499999997
0.582857100002002,-4.6679654
0.5828621999826282,-5.24655775
0.5828666999586858,-3.85401345
0.6486576999886893,-1.0493115499999999
0.64866379997693,0.8629851999999999
0.6486667999997735,2.0103632499999997
0.6486692999606021,2.63798885
0.6486736999941058,1.93191005
0.6486770999617875,1.57887065
0.6486799999838695,3.61865385
0.7140975999645889,3.7461403
0.714102300000377,4.4129925
0.714104899961967,2.99102825
0.7141070999787189,2.0201699
0.7141090999939479,0.6668522
0.7141115999547765,-1.0591182
0.7768638999550603,-1.53964405
0.776869599998463,-1.7259703999999998
0.776872199960053,-1.7455836999999998
0.7768745999783278,-1.4317708999999998
0.7768771999981254,-1.99074995
0.7768792999559082,-2.4810824499999997
0.8403328999993391,-5.30539765
0.8403428999590687,-4.77583855
0.8403688999824226,-3.63826715
0.840376699983608,-0.24516625
0.8403836999787018,1.1964112999999998
0.8404036999563687,1.7161637499999998
0.8404111999552697,2.38301595
0.9043171999510378,2.0103632499999997
0.904322599992156,1.7455836999999998
0.9043249999522232,3.65788045
0.904327199968975,3.6480737999999997
0.9043292999849655,4.30511935
0.9043316000024788,2.6477955
0.9675785999861546,1.7063570999999997
0.9675829999614507,0.30400615
0.967585299978964,-1.2846711499999999
0.9675873999949545,-1.7161637499999998
0.9675894999527372,-1.8828768
0.9675915999687277,-1.7259703999999998
0.9675935999839567,-1.569064
1.031381299952045,-1.95152335
1.031386399990879,-3.20677455
1.0313897999585606,-5.28578435
1.0313919999753125,-4.95235825
1.031394099991303,-2.8243151999999996
1.0313958999468014,0.32361945
1.1023199999472126,1.5102240999999998
1.1023266999982297,1.97113665
1.1023316999780945,2.4712758
1.1023343999986537,1.7455836999999998
1.1023368999594823,2.52030905
1.10233949997928,3.0989014
1.1023416999960318,1.8240368999999999
1.1593117999727838,0.5295591
1.1593173999572173,-0.37265269999999995
1.1593202999792993,-1.0493115499999999
1.1593227999983355,-0.8629851999999999
1.1593264999683015,-0.0
1.1593287999858148,0.26477955
1.2228889999678358,-0.06864655
1.2228970999713056,-0.26477955
1.222900299995672,0.1372931
1.2229031999595463,-0.12748644999999997
1.222905999980867,-0.08825984999999999
1.2229096999508329,0.00980665
1.2760364999994636,-0.08825984999999999
1.276041399978567,-0.04903325
1.2760444000014104,-0.02941995
1.276046899962239,-0.06864655
1.2760491999797523,-0.04903325
1.334365299961064,-0.02941995
1.3344219999853522,-0.08825984999999999
1.3344347999664024,-0.00980665
1.3344424999668263,-0.0784532
1.3344498999649659,-0.0196133
1.3344568999600597,-0.0784532
1.3973471999634057,-0.0392266
1.3973976999986917,-0.0588399
1.397412999998778,-0.06864655
1.3974278999958187,-0.04903325
1.3974535999586806,-0.02941995
1.3974839999573305,-0.04903325
1.3974968999973498,-0.0392266
1.4606877999613062,-0.0588399
1.4607581999734975,-0.0196133
1.46078739996301,-0.04903325
1.4607980999862775,-0.0196133
1.4608257999643683,-0.02941995
1.460854599950835,-0.04903325
